参加する,join
すぐに sではじまる,soon
メッセージ,message
すぐに　rで始まる　二単語,right now
持つ　二単語,hold on
寝る,sleep
笑う,laugh
休憩中　三単語,on a break
休憩する　三単語,take a break
〜を探す　二単語,look for
〜を待つ　二単語,wait for
天気,weather
間違い・悪い,wrong
〜に所属する　二単語,belong to
違い,difference
楽しい(こと)　/をつけて二つ入力,funny / fun
病気の,sick
離れて,away
孤独な・さみしい,lonely
〜のまわり,around
世界,world
〜を心配する　二単語,worry about
ユミさんと話せますか,Can I speak to Yumi, please?
また後で,See you later.
すぐに行きますよ,I can be there soon.
彼は公園で走っている,He is running in the park.
メアリーはケーキを作っている,Mary is making a cake.
来て参加して！,えぇ、ぜひ,Come and join us! – I’d love to.
あなたはマリアを待っているのですか？,Are you waiting for Maria?
ケンは何を探しているのですか？,What is Ken looking for?
あなたは何をしているのですか？,What are you doing?
私たちは今休憩をとっているところではありません。,We are not taking a break now.
彼はテニス部に所属しています。,He belongs to the tennis club.
家族は彼らの子どもたちを心配しています。,Family members worry about their children.
AとBの間の違いは何ですか？,What is the difference between A and B?
彼女はベッドの上に座っています。,She is sitting on the bed.
